raman_shift,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
432.74,95.0,-119.221,56.285,331.254,307.042,290.787,243.029,280.231,76.302,-161.693,21.291,223.492,-101.542,115.269,-241.483,21.516,150.965,388.32,-135.211,400.151,42.13,360.523,92.176,-238.863,225.533,-98.104,433.393,119.881,101.015,356.07,-30.141,323.419,-109.74,298.896,71.341,-248.319,-124.137,304.222,277.152,255.93,-226.262,114.619,134.451,106.594,-30.944,-115.461,284.315,-158.134,177.943,-147.108,155.233,28.21,226.428,286.213,-48.477,586.279,171.323,80.08,40.142,276.409,28.774,610.817,-164.448,527.836,359.906,-40.698,84.425,40.798,-189.68,198.405,76.205,125.923,-249.003,0.0,-193.082,78.806,300.614,137.241,26.27,81.948,241.094,454.445,-208.453,141.254,255.909,135.171,-35.362,100.284,82.607,97.53,-118.092,26.591,200.916,-301.72,-91.408,-20.69,210.314,-139.107,-468.618,83.084
442.89,200.0,164.88,-76.752,174.615,332.844,-20.771,94.076,209.518,173.652,204.104,247.509,268.722,146.969,56.294,56.346,389.972,256.102,350.567,154.14,254.15,97.667,479.793,309.062,369.152,201.078,-5.45,-40.886,321.498,445.011,164.34,54.802,430.311,340.193,392.13,359.448,237.283,201.377,218.487,498.874,328.257,100.561,209.669,159.66,112.204,233.49,154.887,574.259,319.092,231.609,8.487,234.261,620.622,509.463,235.205,82.697,301.677,354.068,151.579,114.692,118.049,339.538,440.825,285.621,292.92,357.003,154.072,227.075,37.884,323.915,288.854,146.548,219.633,131.825,134.642,356.909,151.774,516.589,277.401,256.867,73.168,20.581,328.373,-61.655,91.227,94.128,117.54,138.5,174.022,197.667,-59.109,147.615,295.458,260.009,207.063,50.127,159.611,118.487,183.503,20.762,189.905
453.04,200.0,164.88,191.881,46.222,655.368,399.832,15.679,196.423,320.994,275.673,332.674,758.276,219.118,155.479,308.562,414.178,382.805,560.907,286.647,148.705,138.362,523.164,555.769,681.302,538.019,239.811,95.401,495.869,376.758,164.34,169.885,570.094,320.989,348.255,455.483,311.779,427.582,365.066,565.391,464.568,424.59,402.565,330.525,440.4,284.126,506.903,965.543,375.569,434.973,-62.238,699.96,840.661,752.874,646.105,59.884,304.523,428.307,326.039,200.711,400.217,581.243,838.432,672.219,481.433,438.273,267.445,468.706,340.955,364.769,510.601,246.201,281.13,524.371,275.137,485.63,569.151,685.866,481.803,557.517,319.011,102.906,331.305,287.724,235.424,447.106,188.064,55.989,277.255,212.418,472.874,106.283,325.004,82.73,221.853,507.166,342.868,77.016,325.57,41.523,234.414
463.17,-35.0,126.831,470.747,100.147,939.188,205.109,287.454,68.093,484.122,296.879,582.845,1314.345,342.037,613.873,512.481,618.577,420.547,1248.557,8.113,478.559,406.948,1980.1631666666665,1252.513,1473.892,369.548,468.721,414.313,929.074,789.007,-65.736,279.488,1011.368,460.907,1025.569,1553.033,535.266,995.851,1086.902,817.6,428.404,986.054,1065.119,106.44,760.18,1043.671,712.481,1866.342,968.572,912.313,265.926,1484.592,1706.711,925.525,1348.886,236.684,708.657,976.541,494.778,625.072,633.436,1165.364,1472.299,1171.334,379.926,1835.810666666667,252.91,529.841,609.056,376.441,525.19,11.724,380.697,550.736,816.631,427.12,119.668,1103.223,2026.0040000000001,995.358,447.786,317.539,507.219,393.419,79.456,464.755,573.008,583.469,451.276,678.558,165.506,395.609,1031.148,322.057,2.958,843.311,886.727,231.049,254.537,77.114,-20.771
473.3,700.0,443.908,304.451,423.698,2002.226,399.832,2.613,696.648,902.467,424.113,1394.569,2444.6633333333334,905.864,710.377,88.544,1221.017,566.12,1849.914,551.66,1065.268,767.775,2336.62,2239.341,2106.335,703.772,536.849,703.242,1825.453,1851.028,495.76,646.658,1800.729,801.1,1510.933,2167.661,593.207,1776.532,1869.582,1543.739,1232.356,1790.54,1179.738,406.153,1021.054,1218.085,1163.061,2972.6348,1793.13,1536.527,746.857,2012.384,3179.279,1720.854,2370.7524,-57.032,1596.613,1581.882,1192.615,1204.268,1301.424,1901.99,2898.498,2691.76,1049.872,2806.686,616.287,1216.888,868.414,960.072,977.436,313.613,1136.233,1526.242,948.346,1468.591,957.341,1567.278,2683.494,1447.794,1118.001,164.65,1076.009,968.867,238.367,855.972,784.58,710.182,772.774,1268.608,422.631,91.521,1734.338,233.418,488.076,1654.187,1442.409,189.579,565.309,124.569,489.6
483.42,1005.0,157.27,253.282,744.681,3343.924,462.144,316.199,573.556,1628.65,474.476,2318.072,4437.909,1453.658,447.671,437.353,1869.178,1137.632,2834.198,621.97,1424.863,1207.279,3578.118,3654.518,3335.935,1437.434,978.318,1403.759,2443.928,2500.799,586.147,1331.678,2732.613,1788.758,2424.073,3342.039,1023.627,2526.869,2135.085,2339.167,1816.543,2173.229,2191.741,969.166,1408.156,1580.978,1610.826,5227.446,2360.719,2505.33,1179.695,3186.51,4623.636,2833.182,4211.019,333.639,2547.182,2304.294,1901.892,1648.7,2107.615,3314.814,4079.795,3990.037,1922.833,3558.425,889.546,1711.794,1331.763,1362.776,1613.499,779.637,1754.133,2235.168,1241.045,1863.53,1185.002,2629.641,4216.502,2720.451,1823.337,267.556,2025.946,1403.39,891.668,1994.327,1736.655,1043.171,1050.029,2259.892,381.255,495.987,3055.035,466.835,704.013,2936.845,1847.347,207.352,1260.846,174.99,127.593
493.54,870.0,454.054,544.941,944.974,3377.466,397.236,159.406,754.265,1752.311,580.504,2163.711,4578.921,2324.784,895.343,649.322,2146.193,1595.92,3435.555,978.927,1576.272,1497.568,4602.761,3865.981,4361.959,1635.795,1509.716,1709.042,2547.461,2803.843,643.666,1945.455,2971.066,2521.271,2846.367,3284.418,1506.47,2733.763,2367.4,3115.194,1880.526,2569.885,3019.235,1027.988,1941.124,2185.801,2103.649,6229.584,2318.362,3409.169,1374.896,3293.762,4854.959,3682.287,5412.547,393.523,2285.348,2744.023,2682.669,2698.134,2340.835,3763.695,4596.832,4353.554,2247.655,3494.571,1168.619,2308.593,1532.839,1324.84,1683.525,756.189,1399.792,2657.008,1504.474,2577.347,1827.121,3394.309,4359.583,2991.913,1852.604,252.855,2506.778,1523.764,871.068,2847.358,1768.979,937.086,1681.225,2310.046,283.724,481.225,3359.357,744.573,1011.649,2883.77,2219.772,154.033,1266.765,222.445,534.109
503.64,917.5,370.346,378.644,1134.996,2636.952,555.611,224.737,893.071,1870.711,384.352,1306.743,3309.807,1953.353,667.486,740.549,1643.263,1649.837,2480.935,984.335,1449.197,1511.133,3415.476,3193.637,4049.809,1271.681,940.166,2210.579,2381.263,2623.654,860.047,1860.513,1789.766,3124.84,2089.529,2974.36,2019.664,2251.01,2215.289,2912.873,1916.69,1927.414,2434.957,1282.885,1242.656,2250.503,2193.765,3890.3234,1993.622,2590.064,905.281,3014.342,4290.757,3857.769,3403.9539999999993,650.168,1958.057,1884.553,2393.81,2798.489,2018.358,3058.722,4508.556,4408.37,2644.983,2797.979,1156.991,1755.463,1480.384,1202.278,1639.759,996.528,1639.924,2328.91,1803.028,2495.434,1970.139,3441.007,3486.498,3108.67,2291.61,535.112,2852.743,1473.853,977.009,2632.63,1698.455,1205.246,1993.524,2445.758,650.201,1021.497,2765.486,1229.136,1215.753,2709.8,2145.878,248.822,784.329,471.584,397.614
513.74,730.0,164.88,437.488,736.977,1927.4,469.933,514.804,615.46,947.195,434.715,843.661,2242.9,1442.969,721.099,541.996,1140.333,1072.933,1752.834,808.561,1111.231,889.859,2382.701,1989.923,2871.782,1119.514,588.626,1556.4,1754.615,1528.872,684.751,1276.876,1277.23,2406.044,1853.703,2422.841,1412.661,1613.776,1236.247,1948.382,1299.121,1505.618,1224.468,610.631,1119.232,1668.185,1712.207,3732.684,1533.338,1915.01,910.939,1981.337,3221.594,2646.379,3346.711,467.665,1471.389,1513.353,1535.814,1921.094,1229.442,1962.416,3993.499,2870.634,2009.839,2139.118,1087.223,1403.206,1311.364,1132.242,1441.354,504.126,1569.642,1956.87,1109.33,1951.295,1544.005,2533.328,1985.61,2040.338,1317.017,302.838,1671.186,1150.897,938.752,1967.854,1580.915,925.299,1946.21,1622.638,573.359,859.12,1796.384,986.854,1106.306,2181.994,1717.294,201.427,819.846,326.253,513.338
523.83,467.5,296.784,537.266,557.226,1326.217,381.658,195.991,429.512,886.68,487.73,912.857,1458.018,876.47,747.906,571.511,1067.718,1013.625,1270.131,600.336,819.229,876.294,1531.543,1469.398,2068.334,874.96,760.308,1008.526,1482.159,1119.353,473.848,964.507,975.738,1769.554,1431.41,1646.325,1100.882,1371.02,1053.714,1125.239,915.226,963.707,1168.556,633.039,995.808,1251.842,1016.623,2254.811,1488.157,1482.861,837.385,1645.47,2643.287,1780.291,2267.036,504.736,1146.943,1376.295,1427.134,1247.277,1243.839,1530.8,3230.191,2054.162,1621.212,1724.066,880.825,943.234,868.414,983.417,1099.981,718.086,1147.947,1353.404,799.069,1609.014,1173.327,1748.23,1579.728,1617.092,1009.713,299.898,1152.238,801.518,670.958,1485.45,1151.893,612.937,1656.611,1159.449,531.983,679.03,1373.879,842.076,801.628,1406.501,1078.851,506.53,446.919,261.003,442.123
