sol,target,scan,point,mean,amplitude,fwhm,snr
861,Dragons_Egg_Lake,detail_1,22,1164.9120810018703,8671.646588825559,48.99651467225832,49.81818673574462
861,Dragons_Egg_Lake,detail_1,48,999.3105737306015,10464.91930269957,36.78875588195966,49.3015201077469
861,Dragons_Egg_Lake,detail_1,10,1137.1425809766858,7674.90890632783,61.92919396420042,48.75107609241676
861,Dragons_Egg_Lake,detail_1,44,1143.7787378854157,6217.683431367912,78.55577963554784,48.66299196003901
861,Dragons_Egg_Lake,detail_1,15,1142.7547323845708,6638.873544180603,77.77823203543889,48.123706287695335
861,Dragons_Egg_Lake,detail_1,95,1132.8165781397195,5773.139056968865,55.70541941232435,47.73808012678903
861,Dragons_Egg_Lake,detail_1,77,990.682595073464,8508.951914784195,40.73229920011924,47.17176073444684
861,Dragons_Egg_Lake,detail_1,61,994.0212865411523,12488.784730857082,30.0,45.81971132984968
861,Dragons_Egg_Lake,detail_1,76,1114.744340569896,6446.871038894298,88.64806370857887,45.723541629198245
861,Dragons_Egg_Lake,detail_1,32,1147.515261547246,6433.7720635329815,76.70367415039149,44.93597798816107
861,Dragons_Egg_Lake,detail_1,63,1132.9474035915273,7351.231864337591,67.80944995652406,44.71730009473791
861,Dragons_Egg_Lake,detail_1,88,995.3858838527607,5485.838868597929,30.0,43.44705217839153
861,Dragons_Egg_Lake,detail_1,59,995.4053734473446,7333.970921387688,30.39043505822723,43.407172052116394
861,Dragons_Egg_Lake,detail_1,52,1145.557793828699,7400.177695371067,90.0,42.960358199653406
861,Dragons_Egg_Lake,detail_1,81,1143.9630313689454,4887.912930848121,90.0,42.80327555060403
861,Dragons_Egg_Lake,detail_1,68,1002.0389392606503,7321.6976560423545,30.0,42.775881488634525
861,Dragons_Egg_Lake,detail_1,41,992.0238375691397,3325.173313540767,48.1819600248049,42.66062552685588
861,Dragons_Egg_Lake,detail_1,5,1012.2268261955617,5919.344586103589,34.13058028178873,42.54789022463661
861,Dragons_Egg_Lake,detail_1,45,1156.1528415064192,5630.271668856651,61.318968276146094,41.79471458940318
861,Dragons_Egg_Lake,detail_1,14,1016.3352981244,5489.381456284522,34.48874134734508,41.398622905629324
861,Dragons_Egg_Lake,detail_1,17,1143.8873123435487,10890.168200589878,78.79537987063141,41.043159705790245
861,Dragons_Egg_Lake,detail_1,94,1138.7882924941448,9888.614846681823,72.3116717182858,40.99942333941806
861,Dragons_Egg_Lake,detail_1,84,1142.683038743409,6468.339428927418,83.17492240065752,40.537127354135066
