LASER_SHOT_POSITION:
number,spec_name,image_name,samp,line
89,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,845.927,691.477
90,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,846.083,701.721
91,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,836.479,701.624
92,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,826.958,701.628
93,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,817.198,701.589
94,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,807.721,701.71
95,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,797.892,701.963
96,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,788.148,701.852
97,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,778.41,701.871
98,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,768.85,701.89
99,SS__0861_0743401635_545RRS__0420000SRLC11374W104CGNJ02.CSV,SC3_0861_0743401530_113ECM_N0420000SRLC11374_0000LMJ02.IMG,759.185,701.749
