sol,target,scan,point,mean,amplitude,fwhm,snr,min_ID,peak_ID,master_ID
861,Dragons_Egg_Lake,detail_1,18,986.0986660582332,978.8901568715346,30.15705630724697,8.790947018950478,pyroxene,82,861_Dragons_Egg_Lake_detail_1_f82
861,Dragons_Egg_Lake,detail_1,18,1020.5787006154832,12338.01105880836,30.008843729405964,110.80181037252332,sulf2_v1,83,861_Dragons_Egg_Lake_detail_1_f83
861,Dragons_Egg_Lake,detail_1,18,1082.530889898674,488.0953892496618,39.93040162033943,4.38335259269636,hi-carb,84,861_Dragons_Egg_Lake_detail_1_f84
861,Dragons_Egg_Lake,detail_1,18,1139.3279057601603,883.6024961930698,30.04984078864216,7.93521384939727,unidentified,85,861_Dragons_Egg_Lake_detail_1_f85
861,Dragons_Egg_Lake,detail_1,18,1159.8240932717176,1527.3823170872229,79.89559499713134,13.716694291939556,unidentified,86,861_Dragons_Egg_Lake_detail_1_f86
861,Dragons_Egg_Lake,detail_1,19,993.2074320599794,2057.799702901904,60.50021162702302,18.63966326295387,pyroxene,87,861_Dragons_Egg_Lake_detail_1_f87
861,Dragons_Egg_Lake,detail_1,19,1013.9292889148952,28130.6132723356,30.0,254.8086473320442,sulf1_v1,88,861_Dragons_Egg_Lake_detail_1_f88
861,Dragons_Egg_Lake,detail_1,19,1061.920509580605,842.6697458910556,30.691468435138937,7.6329490587145585,lo-carb,89,861_Dragons_Egg_Lake_detail_1_f89
861,Dragons_Egg_Lake,detail_1,19,1086.9205095984328,222.13110728552357,30.0,2.012075827492048,hi-carb,90,861_Dragons_Egg_Lake_detail_1_f90
861,Dragons_Egg_Lake,detail_1,19,1141.9586149745944,4385.3802310378505,83.47456440867298,39.723016127997305,unidentified,91,861_Dragons_Egg_Lake_detail_1_f91
861,Dragons_Egg_Lake,detail_1,20,936.707948829434,399.8631407215455,50.05840504413216,3.2185967174745933,unidentified,92,861_Dragons_Egg_Lake_detail_1_f92
861,Dragons_Egg_Lake,detail_1,20,994.0300370351804,3846.654301142238,30.0,30.962666087639292,pyroxene,93,861_Dragons_Egg_Lake_detail_1_f93
861,Dragons_Egg_Lake,detail_1,20,1015.376797815165,26223.53157573132,30.0,211.07965214782385,sulf1_v1,94,861_Dragons_Egg_Lake_detail_1_f94
861,Dragons_Egg_Lake,detail_1,20,1054.646613096338,994.8387153366994,42.43727736319342,8.007701379580576,1050,95,861_Dragons_Egg_Lake_detail_1_f95
861,Dragons_Egg_Lake,detail_1,20,1145.793361242336,4065.27481620316,82.35385243578747,32.7223963565457,unidentified,96,861_Dragons_Egg_Lake_detail_1_f96
861,Dragons_Egg_Lake,detail_1,21,970.5876068156678,1476.8180956237825,73.30283091349294,11.774810612611144,reject,97,861_Dragons_Egg_Lake_detail_1_f97
861,Dragons_Egg_Lake,detail_1,21,996.4821838810916,13075.141524418896,31.034432165516375,104.24934231191916,pyroxene,98,861_Dragons_Egg_Lake_detail_1_f98
861,Dragons_Egg_Lake,detail_1,21,1014.4413601459604,86826.9814742224,30.0004095230555,692.2797506024824,sulf1_v1,99,861_Dragons_Egg_Lake_detail_1_f99
861,Dragons_Egg_Lake,detail_1,21,1059.20082204727,2293.602580614205,30.0,18.287110706021835,lo-carb,100,861_Dragons_Egg_Lake_detail_1_f100
861,Dragons_Egg_Lake,detail_1,21,1145.5820340078835,13626.989363624403,78.48500088327054,108.6492774243603,unidentified,101,861_Dragons_Egg_Lake_detail_1_f101
861,Dragons_Egg_Lake,detail_1,22,711.2316256340941,397.93616009374534,30.0,2.286287850647543,unidentified,102,861_Dragons_Egg_Lake_detail_1_f102
861,Dragons_Egg_Lake,detail_1,22,980.4780451318674,3353.4519782010616,52.82003370891854,19.266800266869144,pyroxene,103,861_Dragons_Egg_Lake_detail_1_f103
861,Dragons_Egg_Lake,detail_1,22,1011.342646238541,87015.68036656435,30.0,499.9367054027944,sulf1_v1,104,861_Dragons_Egg_Lake_detail_1_f104
861,Dragons_Egg_Lake,detail_1,22,1058.5462294718263,1687.1554883406302,30.0,9.693321396672776,lo-carb,105,861_Dragons_Egg_Lake_detail_1_f105
861,Dragons_Egg_Lake,detail_1,22,1142.3825851594268,12921.726886380207,75.42014801154141,74.24001674730216,unidentified,106,861_Dragons_Egg_Lake_detail_1_f106
861,Dragons_Egg_Lake,detail_1,23,995.1565930190822,9399.148526638251,45.40348036593481,55.728584662988006,pyroxene,107,861_Dragons_Egg_Lake_detail_1_f107
861,Dragons_Egg_Lake,detail_1,23,1014.3574203937872,85427.29268021145,30.0,506.50780750687545,sulf1_v1,108,861_Dragons_Egg_Lake_detail_1_f108
861,Dragons_Egg_Lake,detail_1,23,1061.2442328866698,2947.126983492954,30.0,17.473839800136258,lo-carb,109,861_Dragons_Egg_Lake_detail_1_f109
861,Dragons_Egg_Lake,detail_1,23,1137.3303851196997,14571.117502246574,63.05233391548104,86.39375716395116,unidentified,110,861_Dragons_Egg_Lake_detail_1_f110
861,Dragons_Egg_Lake,detail_1,23,1178.0633402570354,3709.639878450903,34.60574808445486,21.994862561171683,unidentified,111,861_Dragons_Egg_Lake_detail_1_f111
861,Dragons_Egg_Lake,detail_1,24,991.9913922308358,1080.6043138429152,79.02715611697303,7.108207084261556,pyroxene,112,861_Dragons_Egg_Lake_detail_1_f112
861,Dragons_Egg_Lake,detail_1,24,1007.6698613292518,11001.705616645257,31.844876454164304,72.36913715908602,pyroxene,113,861_Dragons_Egg_Lake_detail_1_f113
861,Dragons_Egg_Lake,detail_1,24,1016.1975593077158,13695.458979235606,30.0,90.0886266058046,sulf1_v1,114,861_Dragons_Egg_Lake_detail_1_f114
861,Dragons_Egg_Lake,detail_1,24,1082.7737411562655,1893.9736127199349,79.17340159117515,12.458544241289548,hi-carb,115,861_Dragons_Egg_Lake_detail_1_f115
861,Dragons_Egg_Lake,detail_1,24,1144.8698072888442,3761.2433119823063,71.5887516922091,24.74143033982977,unidentified,116,861_Dragons_Egg_Lake_detail_1_f116
861,Dragons_Egg_Lake,detail_1,25,987.2201822934358,1187.9141543997052,61.50406350502102,5.114181445592778,pyroxene,117,861_Dragons_Egg_Lake_detail_1_f117
861,Dragons_Egg_Lake,detail_1,25,1011.4886315333008,18261.46399384836,30.0,78.61884630366607,sulf1_v1,118,861_Dragons_Egg_Lake_detail_1_f118
861,Dragons_Egg_Lake,detail_1,25,1091.6420065551954,1755.0655184627406,82.41681326051571,7.5558688117977395,hi-carb,119,861_Dragons_Egg_Lake_detail_1_f119
861,Dragons_Egg_Lake,detail_1,25,1151.980773818151,2439.4571552138073,69.22238501493928,10.50229637748316,unidentified,120,861_Dragons_Egg_Lake_detail_1_f120
861,Dragons_Egg_Lake,detail_1,26,936.7775607036482,365.28183921662605,35.327849194310076,2.0723833019246096,unidentified,121,861_Dragons_Egg_Lake_detail_1_f121
861,Dragons_Egg_Lake,detail_1,26,988.9074207026516,1991.4211327436144,30.0,11.298092211340943,pyroxene,122,861_Dragons_Egg_Lake_detail_1_f122
861,Dragons_Egg_Lake,detail_1,26,1017.9275141058896,24586.839635479715,30.0,139.4905260467905,sulf1_v1,123,861_Dragons_Egg_Lake_detail_1_f123
861,Dragons_Egg_Lake,detail_1,26,1093.0014148888831,2994.124146011677,64.8078485178916,16.986809137270292,hi-carb,124,861_Dragons_Egg_Lake_detail_1_f124
861,Dragons_Egg_Lake,detail_1,26,1154.487154491304,3405.0874146733995,66.38476783308694,19.318360625034884,unidentified,125,861_Dragons_Egg_Lake_detail_1_f125
861,Dragons_Egg_Lake,detail_1,27,961.5406525292566,1468.6166442298395,39.71475524112058,15.279167264705066,phosphate,126,861_Dragons_Egg_Lake_detail_1_f126
861,Dragons_Egg_Lake,detail_1,27,1009.9389906203596,43329.335791195954,32.66797188842025,450.7889595446024,sulf1_v1,127,861_Dragons_Egg_Lake_detail_1_f127
861,Dragons_Egg_Lake,detail_1,27,1029.4185153343724,4927.924836197824,49.00006627362302,51.26905522689774,sulf2_v1,128,861_Dragons_Egg_Lake_detail_1_f128
861,Dragons_Egg_Lake,detail_1,27,1082.440210835986,1707.5683150579164,32.560943022811266,17.765168333198712,hi-carb,129,861_Dragons_Egg_Lake_detail_1_f129
861,Dragons_Egg_Lake,detail_1,27,1137.2881127990916,7508.522322883134,84.16537084457079,78.11702865608328,unidentified,130,861_Dragons_Egg_Lake_detail_1_f130
861,Dragons_Egg_Lake,detail_1,28,981.2463208587574,2952.1699934964927,37.14116206468053,25.85519912562593,pyroxene,131,861_Dragons_Egg_Lake_detail_1_f131
861,Dragons_Egg_Lake,detail_1,28,1012.9559827759418,2307.933669637496,30.0,20.212956817754108,sulf1_v1,132,861_Dragons_Egg_Lake_detail_1_f132
861,Dragons_Egg_Lake,detail_1,28,1012.9566200068936,54869.334379313346,30.0,480.54738358324306,sulf1_v1,133,861_Dragons_Egg_Lake_detail_1_f133
861,Dragons_Egg_Lake,detail_1,28,1056.6948947088474,1035.7265832490657,30.0,9.070926507823604,lo-carb,134,861_Dragons_Egg_Lake_detail_1_f134
861,Dragons_Egg_Lake,detail_1,28,1144.378617419905,8304.888177311528,79.0353649046445,72.73447600018811,unidentified,135,861_Dragons_Egg_Lake_detail_1_f135
861,Dragons_Egg_Lake,detail_1,29,973.0689128816448,545.8728433526724,30.0,3.8744258648339134,phosphate,136,861_Dragons_Egg_Lake_detail_1_f136
861,Dragons_Egg_Lake,detail_1,29,1015.8895783880674,9144.669508188255,30.0,64.90585582216279,sulf1_v1,137,861_Dragons_Egg_Lake_detail_1_f137
861,Dragons_Egg_Lake,detail_1,29,1150.6292579421115,1287.5701144819009,69.99999917779535,9.138749097127835,unidentified,138,861_Dragons_Egg_Lake_detail_1_f138
861,Dragons_Egg_Lake,detail_1,30,992.7471057526946,3053.310165574575,39.33508149382916,19.865869319257484,pyroxene,139,861_Dragons_Egg_Lake_detail_1_f139
861,Dragons_Egg_Lake,detail_1,30,1018.9106349905288,33745.1263057165,30.0,219.5572126636699,sulf1_v1,140,861_Dragons_Egg_Lake_detail_1_f140
861,Dragons_Egg_Lake,detail_1,30,1068.6396712890353,429.4545277301457,30.0,2.7941765047787244,lo-carb,141,861_Dragons_Egg_Lake_detail_1_f141
861,Dragons_Egg_Lake,detail_1,30,1149.7905994973662,4911.694720534181,79.645739850668,31.957148197506225,unidentified,142,861_Dragons_Egg_Lake_detail_1_f142
861,Dragons_Egg_Lake,detail_1,31,974.6534292203754,2046.1065915927863,32.979761373436524,14.019853179268354,phosphate,143,861_Dragons_Egg_Lake_detail_1_f143
861,Dragons_Egg_Lake,detail_1,31,1009.5027202194814,65255.47220974113,30.0,447.12828905566306,sulf1_v1,144,861_Dragons_Egg_Lake_detail_1_f144
861,Dragons_Egg_Lake,detail_1,31,1061.7331904117327,1248.0894197929958,30.0,8.551866501966904,lo-carb,145,861_Dragons_Egg_Lake_detail_1_f145
